"year","pool_size","backlog_n2plus","odds_n0","odds_n1","odds_n2","odds_n3","rookie_slots","auto_eligible","auto_slots","auto_at","growth","aware","auto_share"
2034,2161,446,0,0,0,1,0,197,197.5,3,0.1,TRUE,2.05729166666667
2027,1158,207,0,0,1,1,0,207,206.8,2,0.25,TRUE,2.15416666666667
2028,1413,205,0,0,1,NA,0,205,205.4,2,0.25,TRUE,2.13958333333333
2029,1787,275,0,0,1,NA,0,275,274.9,2,0.25,TRUE,2.86354166666667
2030,2231,343,0,0,1,NA,0,343,342.9,2,0.25,TRUE,3.571875
2031,2787,428,0,0,1,NA,0,428,428.5,2,0.25,TRUE,4.46354166666667
2032,3473,535,0,0,1,NA,0,535,534.6,2,0.25,TRUE,5.56875
2033,4339,658,0,0,1,NA,0,658,658.1,2,0.25,TRUE,6.85520833333333
2034,5440,832,0,0,1,NA,0,832,831.7,2,0.25,TRUE,8.66354166666667
2027,1122,175,0.0119914221458628,0.0225129200621391,0.0441134203695233,1,8.5,78,78,3,0.25,TRUE,0.8125
2028,1410,205,0.00884234410977745,0.0167105811441427,0.0321350167091205,1,7.7,79,78.8,3,0.25,TRUE,0.820833333333333
2029,1787,278,5.31900068955512e-05,9.98670389445029e-05,0.000193846967829974,1,0,106,105.6,3,0.25,TRUE,1.1
2030,2251,365,0,0,0,1,0,145,145.1,3,0.25,TRUE,1.51145833333333
2031,2809,459,0,0,0,1,0,186,186.4,3,0.25,TRUE,1.94166666666667
2032,3518,574,0,0,0,1,0,232,231.8,3,0.25,TRUE,2.41458333333333
2033,4404,720,0,0,0,1,0,289,288.9,3,0.25,TRUE,3.009375
2034,5521,910,0,0,0,1,0,369,368.8,3,0.25,TRUE,3.84166666666667
2027,1178,205,0,0,1,1,0,205,205.4,2,0.3,TRUE,2.13958333333333
2028,1493,198,0,0,1,NA,0,198,198.5,2,0.3,TRUE,2.06770833333333
2029,1967,288,0,0,1,NA,0,288,288.4,2,0.3,TRUE,3.00416666666667
2030,2556,373,0,0,1,NA,0,373,372.5,2,0.3,TRUE,3.88020833333333
2031,3304,480,0,0,1,NA,0,480,480,2,0.3,TRUE,5
2032,4302,614,0,0,1,NA,0,614,614.3,2,0.3,TRUE,6.39895833333333
2033,5598,809,0,0,1,NA,0,809,808.6,2,0.3,TRUE,8.42291666666667
2034,7264,1051,0,0,1,NA,0,1051,1051.2,2,0.3,TRUE,10.95
2027,1150,174,0.0117391425382714,0.0219914349932442,0.043393296101476,1,8,78,78.1,3,0.3,TRUE,0.813541666666667
2028,1489,206,0.00885444026547192,0.0168184007478107,0.0322068847178759,1,8.3,78,77.9,3,0.3,TRUE,0.811458333333333
2029,1955,279,0.00027210016640053,0.000511051635588775,0.00102117077631426,1,0.4,105,105,3,0.3,TRUE,1.09375
2030,2574,388,0,0,0,1,0,147,147.4,3,0.3,TRUE,1.53541666666667
2031,3341,516,0,0,0,1,0,204,204.5,3,0.3,TRUE,2.13020833333333
2032,4344,658,0,0,0,1,0,267,266.6,3,0.3,TRUE,2.77708333333333
2033,5647,862,0,0,0,1,0,333,333.3,3,0.3,TRUE,3.471875
2034,7342,1123,0,0,0,1,0,449,448.9,3,0.3,TRUE,4.67604166666667
