"formula","growth","cohort","kind","yr","value"
"caleb",0.1,2027,"realised",8,0.168536324786325
"caleb",0.1,2030,"persistent",1,0.0118198924737117
"caleb",0.1,2030,"persistent",2,0.0527959954791157
"caleb",0.1,2030,"persistent",3,0.170329433694292
"caleb",0.1,2030,"persistent",4,0.453632788220018
"caleb",0.1,2030,"persistent",5,0.861095589104318
"caleb",0.1,2030,"realised",1,0.0122342559165664
"caleb",0.1,2030,"realised",2,0.0305655836341757
"caleb",0.1,2030,"realised",3,0.0598475732049739
"caleb",0.1,2030,"realised",4,0.0989971921379864
"caleb",0.1,2030,"realised",5,0.12944243882872
"base4_expsvc",0.1,2027,"persistent",1,0.0186724756399657
"base4_expsvc",0.1,2027,"persistent",2,0.0889742067484316
"base4_expsvc",0.1,2027,"persistent",3,0.285472199197058
"base4_expsvc",0.1,2027,"persistent",4,0.662243419464553
"base4_expsvc",0.1,2027,"persistent",5,0.966810366323418
"base4_expsvc",0.1,2027,"realised",1,0.0185897435897436
"base4_expsvc",0.1,2027,"realised",2,0.049465811965812
"base4_expsvc",0.1,2027,"realised",3,0.0978098290598291
"base4_expsvc",0.1,2027,"realised",4,0.146100427350427
"base4_expsvc",0.1,2027,"realised",5,0.168162393162393
"base4_expsvc",0.1,2027,"realised",6,0.169444444444444
"base4_expsvc",0.1,2027,"realised",7,0.169444444444444
"base4_expsvc",0.1,2027,"realised",8,0.169444444444444
"base4_expsvc",0.1,2030,"persistent",1,0.0124675195672954
"base4_expsvc",0.1,2030,"persistent",2,0.052011555814063
"base4_expsvc",0.1,2030,"persistent",3,0.168698579502869
"base4_expsvc",0.1,2030,"persistent",4,0.448471580085768
"base4_expsvc",0.1,2030,"persistent",5,0.845675580383451
"base4_expsvc",0.1,2030,"realised",1,0.0121941436020858
"base4_expsvc",0.1,2030,"realised",2,0.0313678299237866
"base4_expsvc",0.1,2030,"realised",3,0.0600481347773767
"base4_expsvc",0.1,2030,"realised",4,0.0973926995587645
"base4_expsvc",0.1,2030,"realised",5,0.126754913758524
"current",0.25,2027,"persistent",1,0.0503367140361911
"current",0.25,2027,"persistent",2,0.121628160873187
"current",0.25,2027,"persistent",3,0.218836978011478
"current",0.25,2027,"persistent",4,0.346400702674359
"current",0.25,2027,"persistent",5,0.50070835205865
"current",0.25,2027,"realised",1,0.0506346967559944
"current",0.25,2027,"realised",2,0.0840150446638458
"current",0.25,2027,"realised",3,0.107851433944523
"current",0.25,2027,"realised",4,0.125434884814292
"current",0.25,2027,"realised",5,0.13563704748472
"current",0.25,2027,"realised",6,0.14306535025858
"current",0.25,2027,"realised",7,0.145698166431594
"current",0.25,2027,"realised",8,0.146920545369064
"current",0.25,2030,"persistent",1,0.0243840291871679
"current",0.25,2030,"persistent",2,0.0584387349814475
"current",0.25,2030,"persistent",3,0.106605327849864
"current",0.25,2030,"persistent",4,0.174154716530333
"current",0.25,2030,"persistent",5,0.266943721173681
"current",0.25,2030,"realised",1,0.0236341756919374
"current",0.25,2030,"realised",2,0.0393020457280385
"current",0.25,2030,"realised",3,0.0512876052948255
"current",0.25,2030,"realised",4,0.0606016847172082
"current",0.25,2030,"realised",5,0.0673886883273165
"base3",0.25,2027,"persistent",1,0.0284257127359175
"base3",0.25,2027,"persistent",2,0.0967834519528395
"base3",0.25,2027,"persistent",3,0.235186708957267
"base3",0.25,2027,"persistent",4,0.464808557843611
"base3",0.25,2027,"persistent",5,0.748971785568265
"base3",0.25,2027,"realised",1,0.0295251527973672
"base3",0.25,2027,"realised",2,0.0594734367653973
"base3",0.25,2027,"realised",3,0.0938410907381288
"base3",0.25,2027,"realised",4,0.124400564174894
"base3",0.25,2027,"realised",5,0.146450399623883
"base3",0.25,2027,"realised",6,0.153549600376117
"base3",0.25,2027,"realised",7,0.154913023037141
"base3",0.25,2027,"realised",8,0.154913023037141
"base3",0.25,2030,"persistent",1,0.0135692557354874
"base3",0.25,2030,"persistent",2,0.0421280649089905
"base3",0.25,2030,"persistent",3,0.100329711565536
"base3",0.25,2030,"persistent",4,0.211611521263066
"base3",0.25,2030,"persistent",5,0.404383552136777
"base3",0.25,2030,"realised",1,0.0128760529482551
"base3",0.25,2030,"realised",2,0.0263056558363418
"base3",0.25,2030,"realised",3,0.0408423586040915
"base3",0.25,2030,"realised",4,0.0551865222623345
"base3",0.25,2030,"realised",5,0.069410348977136
"base4",0.25,2027,"persistent",1,0.0185981481580944
"base4",0.25,2027,"persistent",2,0.0820997762636503
"base4",0.25,2027,"persistent",3,0.242807387880285
"base4",0.25,2027,"persistent",4,0.552862698899231
"base4",0.25,2027,"persistent",5,0.889157575224922
"base4",0.25,2027,"realised",1,0.0193700047014575
"base4",0.25,2027,"realised",2,0.0480018805829807
"base4",0.25,2027,"realised",3,0.0866478608368594
"base4",0.25,2027,"realised",4,0.127080394922426
"base4",0.25,2027,"realised",5,0.151386929948284
"base4",0.25,2027,"realised",6,0.156746591443347
"base4",0.25,2027,"realised",7,0.156840620592384
"base4",0.25,2027,"realised",8,0.156840620592384
"base4",0.25,2030,"persistent",1,0.00875589592883985
"base4",0.25,2030,"persistent",2,0.0321415645549906
"base4",0.25,2030,"persistent",3,0.0916501740486559
"base4",0.25,2030,"persistent",4,0.231808137004552
"base4",0.25,2030,"persistent",5,0.505007705304981
"base4",0.25,2030,"realised",1,0.00847172081829121
"base4",0.25,2030,"realised",2,0.0195186522262335
"base4",0.25,2030,"realised",3,0.0342238267148014
"base4",0.25,2030,"realised",4,0.0527075812274368
"base4",0.25,2030,"realised",5,0.07338146811071
"base4_kflat",0.25,2027,"persistent",1,0.0177567319305489
"base4_kflat",0.25,2027,"persistent",2,0.0802814785656996
"base4_kflat",0.25,2027,"persistent",3,0.239695643519831
"base4_kflat",0.25,2027,"persistent",4,0.551167265883545
"base4_kflat",0.25,2027,"persistent",5,0.888316735942408
"base4_kflat",0.25,2027,"realised",1,0.0173483779971791
"base4_kflat",0.25,2027,"realised",2,0.0475317348377997
"base4_kflat",0.25,2027,"realised",3,0.0875411377527033
"base4_kflat",0.25,2027,"realised",4,0.130042313117066
"base4_kflat",0.25,2027,"realised",5,0.155994358251058
"base4_kflat",0.25,2027,"realised",6,0.160601786553832
"base4_kflat",0.25,2027,"realised",7,0.16064880112835
"base4_kflat",0.25,2027,"realised",8,0.16064880112835
"base4_kflat",0.25,2030,"persistent",1,0.0083949349466782
"base4_kflat",0.25,2030,"persistent",2,0.0307692821184166
"base4_kflat",0.25,2030,"persistent",3,0.088945398595444
"base4_kflat",0.25,2030,"persistent",4,0.231078219660106
"base4_kflat",0.25,2030,"persistent",5,0.511331591884887
"base4_kflat",0.25,2030,"realised",1,0.00832731648616125
"base4_kflat",0.25,2030,"realised",2,0.0179302045728039
"base4_kflat",0.25,2030,"realised",3,0.0330926594464501
"base4_kflat",0.25,2030,"realised",4,0.0524428399518652
"base4_kflat",0.25,2030,"realised",5,0.0741756919374248
"caleb",0.25,2027,"persistent",1,0.017614680528234
"caleb",0.25,2027,"persistent",2,0.0840566244926008
"caleb",0.25,2027,"persistent",3,0.247716083719281
"caleb",0.25,2027,"persistent",4,0.558344051951219
"caleb",0.25,2027,"persistent",5,0.897766007186781
"caleb",0.25,2027,"realised",1,0.017771509167842
"caleb",0.25,2027,"realised",2,0.0479078514339445
"caleb",0.25,2027,"realised",3,0.0872120357310766
"caleb",0.25,2027,"realised",4,0.128678890456041
